"rain" "evaporation" "flow"
"239" 1.4268 4.3026 0.40667996
"240" 23.6767 0.999 0.72550089
"241" 24.4099 1.1838 1.1823892
"242" 15.0156 2.5555 1.3179521
"243" 0.168 1.8784 2.0710683
"244" 16.0095 3.7785 1.3681605
"245" 0 6.9228 3.1630807
"246" 0 7.3475 1.9078901
"247" 0 6.67 1.4685727
"248" 0 7.1465 1.280297
"249" 0 7.3549 1.1196321
"250" 0.7059 6.4311 0.69663121
"251" 19.8177 3.8262 0.60249113
"252" 3.0173 4.3409 0.75311613
"253" 13.8141 1.9288 0.83470301
"254" 9.9101 1.6293 1.2263209
"255" 28.7443 1.8926 1.9078901
"256" 1.0565 2.593 2.8994947
"257" 0.7668 1.8986 2.82418
"258" 5.9498 2.1135 2.7614229
"259" 0 7.4925 2.0083067
"260" 0 7.1145 1.1422252
"261" 0 4.434 0.77194149
"262" 0.3126 2.358 0.64014628
"263" 10.0587 5.0753 0.58366578
"264" 0.252 2.4952 0.64014628
"265" 22.6007 3.6947 0.60249113
"266" 6.2198 3.2855 0.77194149
"267" 10.7694 2.217 0.96649823
"268" 0 4.5046 1.3932624
"269" 0 5.2789 1.01043
"270" 0.8565 5.0351 0.81336436
"271" 0 5.3442 0.62132092
"272" 0 5.2987 0.50835106
"273" 11.7724 3.5983 0.46693262
"274" 0.6106 4.6953 0.50835106
"275" 5.5086 4.7639 0.48952571
"276" 9.8865 1.482 0.48952571
"277" 0 4.3097 0.62132092
"278" 1.3435 5.5106 0.54601064
"279" 0 5.7702 0.47446365
"280" 1.5366 5.5178 0.41295656
"281" 0.0015 4.9133 0.37655585
"282" 0 6.0429 0.34643174
"283" 9.4715 3.1874 0.32509309
"284" 2.6926 2.7316 0.32509309
"285" 27.4488 2.8788 0.35396277
"286" 2.4001 2.5355 0.92256649
"287" 0.1763 2.6015 0.92256649
"288" 15.9283 0.7113 0.73428635
"289" 33.0233 0.7232 0.96649823
"290" 3.6946 0.9596 2.259344
"291" 0 3.5123 1.9455452
"292" 0 4.4616 1.518781
"293" 0.3695 5.4515 1.1196321
"294" 5.3149 3.269 0.65897606
"295" 3.0671 3.4842 0.52718085
"296" 31.0189 1.4848 0.54601064
"297" 49.7743 2.2855 0.96649823
"298" 3.6667 2.3974 6.2006472
"299" 0.1383 5.6936 6.2383023
"300" 6.7975 2.6898 5.3220124
"301" 0 4.5584 4.6191046
"302" 0.5374 6.0148 3.1254255
"303" 21.925 4.6544 2.4476241
"304" 10.6479 3.3624 1.8200266
"305" 9.0043 1.0476 1.6317509
"306" 0 3.4122 2.8994947
"307" 0.9571 4.7236 1.7572695
"308" 0.8382 3.6429 1.1648183
"309" 0 3.237 0.83470301
"310" 0.3821 4.0907 0.71546099
"311" 7.1416 3.119 0.60249113
"312" 0 3.9922 0.87863475
"313" 1.3099 4.8964 0.71546099
"314" 0 5.9152 0.56483599
"315" 0.126 5.9406 0.47822695
"316" 13.5198 5.0693 0.45563387
"317" 5.8111 3.5831 0.73428635
"318" 0.4618 4.6015 1.1861569
"319" 10.2304 4.0124 1.8827881
"320" 3.0243 2.22 2.4476241
"321" 0.7051 2.5146 2.6359043
"322" 7.4402 3.3994 1.4936791
"323" 7.8978 4.3806 1.8827881
"324" 0 5.8877 1.7572695
"325" 0 2.7717 1.5689894
"326" 0.9068 3.262 1.2928457
"327" 0.9916 3.038 0.96649823
"328" 2.3511 3.7721 0.69663121
"329" 0 4.5166 0.58366578
"330" 1.0498 3.9458 0.50835106
"331" 1.3634 5.7627 0.4594016
"332" 0 5.9132 0.42048759
"333" 14.1189 5.2827 0.39664007
"334" 6.6449 4.6072 0.78700355
"335" 0 3.7029 0.83470301
"336" 0.1343 4.6256 0.67780142
"337" 0 6.4076 0.48952571
"338" 2.7633 2.2694 0.38910904
"339" 68.2198 0.7829 0.56609043
"340" 1.2753 2.4613 4.2174424
"341" 0 1.5364 3.6651596
"342" 0 4.8668 3.4266755
"343" 7.5788 4.5735 2.6359043
"344" 0.0076 3.7089 1.694508
"345" 0.5668 5.3072 1.3681605
"346" 0 2.5116 1.2928457
"347" 4.2518 4.7219 1.1196321
"348" 13.2521 1.2732 0.82717199
"349" 0 2.4249 2.0334087
